,GBPUSD
2019-07-09,1.2441
2019-07-08,1.2501
2019-07-05,1.2483
2019-07-04,1.2571
2019-07-03,1.2559
2019-07-02,1.2586
2019-07-01,1.2633
2019-06-28,1.2666
2019-06-27,1.2667
2019-06-26,1.2664
2019-06-25,1.2712
2019-06-24,1.2711
2019-06-21,1.2645
2019-06-20,1.2654
2019-06-19,1.2545
2019-06-18,1.2507
2019-06-17,1.2555
2019-06-14,1.2590
2019-06-13,1.2665
2019-06-12,1.2688
2019-06-11,1.2673
2019-06-10,1.2656
2019-06-07,1.2689
2019-06-06,1.2670
2019-06-05,1.2693
2019-06-04,1.2645
2019-06-03,1.2613
2019-05-31,1.2560
2019-05-30,1.2584
2019-05-29,1.2613
2019-05-28,1.2656
2019-05-27,1.2668
2019-05-24,1.2649
2019-05-23,1.2606
2019-05-21,1.2686
2019-05-20,1.2717
2019-05-17,1.2721
2019-05-16,1.2790
2019-05-15,1.2829
2019-05-14,1.2909
2019-05-13,1.2951
2019-05-10,1.2993
2019-05-09,1.2968
2019-05-08,1.2991
2019-05-07,1.3042
2019-05-06,1.3083
2019-05-03,1.2992
2019-05-02,1.3019
2019-05-01,1.3035
2019-04-30,1.2928
2019-04-29,1.2906
2019-04-26,1.2888
2019-04-25,1.2867
2019-04-24,1.2917
2019-04-23,1.2929
2019-04-22,1.2977
2019-04-19,1.2989
2019-04-18,1.2998
2019-04-17,1.3032
2019-04-16,1.3045
2019-04-15,1.3081
2019-04-12,1.3051
2019-04-11,1.3064
2019-04-10,1.3049
2019-04-09,1.3034
2019-04-08,1.3035
2019-04-05,1.3006
2019-04-04,1.3068
2019-04-03,1.3124
2019-04-02,1.3017
2019-04-01,1.3012
2019-03-29,1.2980
2019-03-28,1.3076
2019-03-27,1.3168
2019-03-26,1.3165
2019-03-25,1.3163
2019-03-22,1.3084
2019-03-21,1.3068
2019-03-20,1.3150
2019-03-19,1.3243
2019-03-18,1.3132
2019-03-15,1.3207
2019-03-14,1.3211
2019-03-13,1.3065
2019-03-12,1.3011
2019-03-11,1.2962
2019-03-08,1.3006
2019-03-07,1.3089
2019-03-06,1.3126
2019-03-05,1.3099
2019-03-04,1.3169
2019-03-01,1.3215
2019-02-28,1.3265
2019-02-27,1.3235
2019-02-26,1.3123
2019-02-25,1.3057
2019-02-22,1.2972
2019-02-21,1.3028
2019-02-20,1.3014
2019-02-19,1.2897
2019-02-18,1.2894
2019-02-15,1.2787
2019-02-14,1.2774
2019-02-13,1.2861
2019-02-12,1.2834
2019-02-11,1.2860
2019-02-08,1.2925
2019-02-07,1.2856
2019-02-06,1.2930
2019-02-05,1.2930
2019-02-04,1.3042
2019-02-01,1.3046
2019-01-31,1.3101
2019-01-30,1.3058
2019-01-29,1.3131
2019-01-28,1.3139
2019-01-25,1.3064
2019-01-24,1.3014
2019-01-23,1.2946
2019-01-22,1.2856
2019-01-21,1.2832
2019-01-18,1.2892
2019-01-17,1.2836
