,PLNT
2019-03-19,67.17
2019-03-18,66.73
2019-03-15,67.02
2019-03-14,66.88
2019-03-13,66.60
2019-03-12,65.78
2019-03-11,64.47
2019-03-08,62.70
2019-03-07,63.07
2019-03-06,63.07
2019-03-05,61.40
2019-03-04,60.57
2019-03-01,59.36
2019-02-28,57.38
2019-02-27,58.25
2019-02-26,56.21
2019-02-25,56.68
2019-02-22,57.92
2019-02-21,57.98
2019-02-20,57.84
2019-02-19,58.56
2019-02-15,58.51
2019-02-14,57.86
2019-02-13,58.00
2019-02-12,57.96
2019-02-11,57.47
2019-02-08,56.80
2019-02-07,56.64
2019-02-06,57.26
2019-02-05,58.39
2019-02-04,57.53
2019-02-01,57.89
2019-01-31,57.64
2019-01-30,57.83
2019-01-29,57.18
2019-01-28,56.51
2019-01-25,57.47
2019-01-24,57.17
2019-01-23,56.92
2019-01-22,57.53
2019-01-18,58.15
2019-01-17,57.74
2019-01-16,57.73
2019-01-15,57.24
2019-01-14,57.21
2019-01-11,57.73
2019-01-10,57.39
2019-01-09,57.73
2019-01-08,56.05
2019-01-07,55.21
2019-01-04,53.33
2019-01-03,52.20
2019-01-02,52.15
2018-12-31,52.82
2018-12-28,51.61
2018-12-27,50.61
2018-12-26,49.16
2018-12-24,48.00
2018-12-21,50.41
2018-12-20,51.49
2018-12-19,52.81
2018-12-18,53.27
2018-12-17,52.37
2018-12-14,53.50
2018-12-13,54.09
2018-12-12,54.00
2018-12-11,53.02
2018-12-10,53.04
2018-12-07,53.05
2018-12-06,54.06
2018-12-04,55.41
2018-12-03,55.84
2018-11-30,54.62
2018-11-29,55.41
2018-11-28,54.32
2018-11-27,53.43
2018-11-26,53.13
2018-11-23,52.18
2018-11-21,51.32
2018-11-20,48.02
2018-11-19,50.47
2018-11-16,52.39
2018-11-15,51.59
2018-11-14,51.67
2018-11-13,51.18
2018-11-12,49.74
2018-11-09,54.36
2018-11-08,55.35
2018-11-07,51.69
2018-11-06,46.89
2018-11-05,46.96
2018-11-02,47.97
2018-11-01,48.17
2018-10-31,47.94
2018-10-30,45.36
2018-10-29,44.97
2018-10-26,45.47
2018-10-25,45.35
2018-10-24,45.41
2018-10-23,45.66
2018-10-22,47.37
2018-10-19,47.79
2018-10-18,47.77
2018-10-17,49.03
2018-10-16,47.13
2018-10-15,45.71
2018-10-12,45.80
2018-10-11,45.05
2018-10-10,46.05
2018-10-09,48.22
2018-10-08,47.39
2018-10-05,48.15
2018-10-04,49.62
2018-10-03,49.56
2018-10-02,50.96
2018-10-01,52.72
2018-09-28,53.51
2018-09-27,53.53
2018-09-26,53.76
2018-09-25,50.18
2018-09-24,49.76
2018-09-21,49.80
2018-09-20,49.50
2018-09-19,49.06
2018-09-18,49.00
2018-09-17,49.57
2018-09-14,50.81
2018-09-13,50.69
2018-09-12,49.82
2018-09-11,50.08
2018-09-10,50.06
2018-09-07,49.50
2018-09-06,49.80
2018-09-05,49.80
2018-09-04,50.99
2018-08-31,50.28
2018-08-30,50.65
2018-08-29,51.19
2018-08-28,51.33
2018-08-27,50.83
2018-08-24,49.90
2018-08-23,49.49
2018-08-22,49.97
2018-08-21,50.27
2018-08-20,50.09
2018-08-17,50.43
2018-08-16,51.44
2018-08-15,51.39
2018-08-14,49.14
2018-08-13,48.95
2018-08-10,51.00
2018-08-09,48.51
2018-08-08,48.25
2018-08-07,48.76
2018-08-06,47.52
2018-08-03,47.67
2018-08-02,47.66
2018-08-01,47.58
2018-07-31,47.47
2018-07-30,47.83
2018-07-27,48.44
2018-07-26,49.85
2018-07-25,49.49
2018-07-24,49.26
2018-07-23,49.00
2018-07-20,48.54
2018-07-19,48.43
2018-07-18,48.68
2018-07-17,48.34
2018-07-16,48.45
2018-07-13,47.01
2018-07-12,45.87
2018-07-11,44.46
2018-07-10,44.85
2018-07-09,45.50
2018-07-06,45.26
2018-07-05,44.44
2018-07-03,44.16
