,LULU
2019-03-14,141.01
2019-03-13,145.25
2019-03-12,142.67
2019-03-11,142.35
2019-03-08,141.78
2019-03-07,146.42
2019-03-06,147.66
2019-03-05,147.45
2019-03-04,146.46
2019-03-01,150.19
2019-02-28,148.53
2019-02-27,149.05
2019-02-26,148.19
2019-02-25,148.05
2019-02-22,147.50
2019-02-21,147.05
2019-02-20,147.03
2019-02-19,145.53
2019-02-15,150.54
2019-02-14,152.35
2019-02-13,154.11
2019-02-12,150.57
2019-02-11,149.28
2019-02-08,147.00
2019-02-07,143.06
2019-02-06,143.47
2019-02-05,146.68
2019-02-04,144.68
2019-02-01,144.36
2019-01-31,146.31
2019-01-30,148.23
2019-01-29,147.81
2019-01-28,148.62
2019-01-25,148.43
2019-01-24,147.23
2019-01-23,147.75
2019-01-22,148.32
2019-01-18,147.07
2019-01-17,141.73
2019-01-16,141.37
2019-01-15,138.51
2019-01-14,135.38
2019-01-11,130.57
2019-01-10,129.50
2019-01-09,134.64
2019-01-08,133.67
2019-01-07,129.33
2019-01-04,125.31
2019-01-03,120.32
2019-01-02,118.28
2018-12-31,120.56
2018-12-28,120.64
2018-12-27,118.69
2018-12-26,114.10
2018-12-24,110.71
2018-12-21,113.53
2018-12-20,111.34
2018-12-19,114.15
2018-12-18,118.38
2018-12-17,117.50
2018-12-14,117.61
2018-12-13,118.15
2018-12-12,118.50
2018-12-11,115.80
2018-12-10,112.37
2018-12-07,113.61
2018-12-06,126.56
2018-12-04,131.32
2018-12-03,134.10
2018-11-30,129.25
2018-11-29,126.84
2018-11-28,123.94
2018-11-27,121.40
2018-11-26,121.87
2018-11-23,120.61
2018-11-21,121.87
2018-11-20,118.52
2018-11-19,126.62
2018-11-16,134.35
2018-11-15,134.70
2018-11-14,138.38
2018-11-13,134.65
2018-11-12,134.66
2018-11-09,136.38
2018-11-08,140.11
2018-11-07,139.68
2018-11-06,139.92
2018-11-05,139.15
2018-11-02,140.04
2018-11-01,138.97
2018-10-31,140.66
2018-10-30,135.12
2018-10-29,133.95
2018-10-26,133.14
2018-10-25,134.00
2018-10-24,134.16
2018-10-23,133.13
2018-10-22,136.02
2018-10-19,136.53
2018-10-18,140.92
2018-10-17,142.75
2018-10-16,142.97
2018-10-15,142.86
2018-10-12,141.07
2018-10-11,137.68
2018-10-10,140.40
2018-10-09,149.00
2018-10-08,148.34
